datetime,symbol,volume,price,operation,signal,stop_price,target_price,long_pos,short_pos
2020-11-25 09:32:12.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,0,0
2020-11-25 09:35:39,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,0,0
2020-11-25 09:37:40,ni2012-1-ni2101-1-CJ.SPD,1.0,-330.0,buy,,,,1.0,0
2020-11-25 09:37:53,ni2012-1-ni2101-1-CJ.SPD,1,-400.0,entry long,,,,1.0,0
2020-11-26 11:16:33,ni2012-1-ni2101-1-CJ.SPD,1,-380.0,entry long,,,,1,0
2020-11-26 11:21:20.500000,ni2012-1-ni2101-1-CJ.SPD,1,-370.0,entry long,,,,1,0
2020-11-26 13:30:03.500000,ni2012-1-ni2101-1-CJ.SPD,1,-280.0,entry long,,,,1,0
2020-11-26 13:31:58,ni2012-1-ni2101-1-CJ.SPD,1,-340.0,entry long,,,,1,0
2020-11-26 13:34:04.500000,ni2012-1-ni2101-1-CJ.SPD,1,-300.0,entry long,,,,1,0
2020-11-26 13:34:08.500000,ni2012-1-ni2101-1-CJ.SPD,1,-260.0,entry long,,,,1,0
2020-11-26 13:37:00.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 13:38:08,ni2012-1-ni2101-1-CJ.SPD,1,-260.0,entry long,,,,1,0
2020-11-26 13:42:12.500000,ni2012-1-ni2101-1-CJ.SPD,1,-260.0,entry long,,,,1,0
2020-11-26 13:43:05,ni2012-1-ni2101-1-CJ.SPD,1.0,-260.0,buy,,,,2.0,0
2020-11-26 14:09:29.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,2,0
2020-11-26 14:19:03,ni2012-1-ni2101-1-CJ.SPD,1.0,-250.0,sell,,,,1.0,0
2020-11-26 14:22:11.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1.0,0
2020-11-26 14:23:10.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:29:26,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:32:18,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:35:24,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:37:55.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:40:00.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:42:01.500000,ni2012-1-ni2101-1-CJ.SPD,1,-340.0,entry long,,,,1,0
2020-11-26 14:44:11,ni2012-1-ni2101-1-CJ.SPD,1,-330.0,entry long,,,,1,0
2020-11-26 14:45:27.500000,ni2012-1-ni2101-1-CJ.SPD,1,-380.0,entry long,,,,1,0
2020-11-26 14:46:12.500000,ni2012-1-ni2101-1-CJ.SPD,1,-360.0,entry long,,,,1,0
2020-11-26 14:48:13.500000,ni2012-1-ni2101-1-CJ.SPD,1,-320.0,entry long,,,,1,0
2020-11-26 14:48:20,ni2012-1-ni2101-1-CJ.SPD,1.0,-320.0,buy,,,,2.0,0
